mode,target,split,n,R2,MAE,RMSE,NMAE,predictions,gate_pass
TRANSFER,system_npv,train,2868,0.99984780031803011,6.692185080093588,10.014812315326694,0.0027167216028712604,UNCLIPPED,
TRANSFER,system_npv,validation,614,0.99654088936253782,31.247807006969254,47.422129804775651,0.012800159377201822,UNCLIPPED,
TRANSFER,system_npv,test,614,0.99682674110663094,30.452446826263834,47.045290732165526,0.011827285426583265,UNCLIPPED,True
TRANSFER,value_C,train,2868,0.99986701679983359,2.4340353928755882,3.7006577400125109,0.002467549392778671,UNCLIPPED,
TRANSFER,value_C,validation,614,0.99665414723424173,11.259099934059453,18.115691350357263,0.01233885142087135,UNCLIPPED,
TRANSFER,value_C,test,614,0.9961396685438727,11.928251704345744,20.688153700843987,0.011544366788525997,UNCLIPPED,True
TRANSFER,value_T,train,2868,0.99956559558728886,1.278486242512261,1.8375496097271828,0.003954062559028167,UNCLIPPED,
TRANSFER,value_T,validation,614,0.99057714448707301,5.3557598314384229,8.8503591444851448,0.016186686827081378,UNCLIPPED,
TRANSFER,value_T,test,614,0.98971422651599661,5.1649445783001147,8.9711461298683979,0.016306855799660562,UNCLIPPED,True
TRANSFER,value_U,train,2868,0.99978279917444746,5.0913918356580732,7.1425216196239489,0.0034493371186267371,UNCLIPPED,
TRANSFER,value_U,validation,614,0.99400618099419968,24.315745983917864,37.593331641391011,0.016681843584923237,UNCLIPPED,
TRANSFER,value_U,test,614,0.99484131307339341,23.499469835678184,36.182902346342651,0.015421941511875316,UNCLIPPED,True
TRANSFER,invest_prob_C,train,2868,0.99970004665059009,0.00454737251927201,0.0060548166770306097,0.0045922369549574963,UNCLIPPED,
TRANSFER,invest_prob_C,validation,614,0.99330788145333326,0.018826525071541412,0.028813496324786556,0.019231801047997699,UNCLIPPED,
TRANSFER,invest_prob_C,test,614,0.99556585259453279,0.016752159322101865,0.023654822677266412,0.01697959822161144,UNCLIPPED,True
TRANSFER,invest_prob_U,train,2868,0.99970004665059009,0.00454737251927201,0.0060548166770306097,0.0045922369549574963,UNCLIPPED,
TRANSFER,invest_prob_U,validation,614,0.99330788145333326,0.018826525071541412,0.028813496324786556,0.019231801047997699,UNCLIPPED,
TRANSFER,invest_prob_U,test,614,0.99556585259453279,0.016752159322101865,0.023654822677266412,0.01697959822161144,UNCLIPPED,True
TRANSFER,expected_tau_C_conditional,train,2868,0.99888793500327699,0.16817833731114232,0.2190543295873156,0.0084982163146771362,UNCLIPPED,
TRANSFER,expected_tau_C_conditional,validation,614,0.98410307040900002,0.59148336617772246,0.83900921169424847,0.030471171570150515,UNCLIPPED,
TRANSFER,expected_tau_C_conditional,test,614,0.98668811777014065,0.56520784502601973,0.76897543226931497,0.028291359133534803,UNCLIPPED,True
TRANSFER,expected_tau_U_conditional,train,2868,0.99888793500327699,0.16817833731114232,0.2190543295873156,0.0084982163146771362,UNCLIPPED,
TRANSFER,expected_tau_U_conditional,validation,614,0.98410307040900002,0.59148336617772246,0.83900921169424847,0.030471171570150515,UNCLIPPED,
TRANSFER,expected_tau_U_conditional,test,614,0.98668811777014065,0.56520784502601973,0.76897543226931497,0.028291359133534803,UNCLIPPED,True
TRANSFER,mean_co2_price_conditional,train,2868,0.99766153068837193,2.2622637956153535,2.9012041677949587,0.011229012476535915,UNCLIPPED,
TRANSFER,mean_co2_price_conditional,validation,614,0.97697060665412749,6.9779881588696648,9.0798995999865184,0.03624758669641167,UNCLIPPED,
TRANSFER,mean_co2_price_conditional,test,614,0.97939725642617914,6.9341975858882012,9.0087897295532073,0.033271262085850149,UNCLIPPED,True
TRANSFER,mean_storage_fee_conditional,train,2868,0.99715757617424516,2.4448420414600189,3.1051898630643482,0.012613060794033732,UNCLIPPED,
TRANSFER,mean_storage_fee_conditional,validation,614,0.97431087743350164,7.1833418008467849,9.0194971605258569,0.039423220315945744,UNCLIPPED,
TRANSFER,mean_storage_fee_conditional,test,614,0.97449123707288687,7.5574119232831904,9.5387469997346184,0.037057624997068925,UNCLIPPED,True
JOINT_VENTURE,system_npv,train,2868,0.99987090747746121,6.0153421426881408,9.1627490970288825,0.002442846606355993,UNCLIPPED,
JOINT_VENTURE,system_npv,validation,614,0.99799367610827683,24.410681814273516,35.868901819629116,0.010056525851271567,UNCLIPPED,
JOINT_VENTURE,system_npv,test,614,0.99755886120767112,25.787106493956653,41.246964274035768,0.010008002395091035,UNCLIPPED,True
JOINT_VENTURE,value_C,train,2868,0.99987738267723547,2.0997934541919512,3.3962663473851404,0.0022342264185962238,UNCLIPPED,
JOINT_VENTURE,value_C,validation,614,0.99786100282941548,8.991568595123784,14.004521484025794,0.0097715484673767672,UNCLIPPED,
JOINT_VENTURE,value_C,test,614,0.99709127107261364,9.8846212875415524,17.243437692760434,0.0098862294644928971,UNCLIPPED,True
JOINT_VENTURE,value_T,train,2868,0.99987738267726112,0.83991738266320526,1.3585065388119224,0.00223422642122017,UNCLIPPED,
JOINT_VENTURE,value_T,validation,614,0.99786100283463297,3.5966274353510959,5.6018085867782874,0.0097715484600455274,UNCLIPPED,
JOINT_VENTURE,value_T,test,614,0.99709127107140061,3.9538485152097951,6.897375078542443,0.0098862294649759083,UNCLIPPED,True
JOINT_VENTURE,value_U,train,2868,0.9998063377003894,3.6077859802315508,5.2648410630901425,0.0031203207334765766,UNCLIPPED,
JOINT_VENTURE,value_U,validation,614,0.99686459005865558,13.929413186288423,21.163692678343008,0.01224131382672547,UNCLIPPED,
