found,root_count,root_index,explanation,mode,variable,boundary_type,min_response,max_response,closest_point,closest_response,left_endpoint_response,right_endpoint_response,threshold,min_abs_distance,min_signed_distance,threshold_side,direction,metric_family,increasing_steps,decreasing_steps,descriptive_flat_tolerance,monotonicity,rank_within_unit
False,0,,No crossing detected on the prescribed 1001-point exact grid within the specified domain.,JOINT_VENTURE,transport_market_price,COMMIT_NOW_SYSTEM_NPV_ZERO,3324.6759198204404,3324.6759198204404,75.0,3324.6759198204404,3324.6759198204404,3324.6759198204404,0.0,3324.6759198204404,3324.6759198204404,above,flat_endpoints,NPV_million_CNY,0.0,0.0,4.7246486471698864e-11,numerically_flat,15
False,0,,No crossing detected on the prescribed 1001-point exact grid within the specified domain.,STATE_OWNED,transport_market_price,COMMIT_NOW_SYSTEM_NPV_ZERO,3324.6759198204404,3324.6759198204404,75.0,3324.6759198204404,3324.6759198204404,3324.6759198204404,0.0,3324.6759198204404,3324.6759198204404,above,flat_endpoints,NPV_million_CNY,0.0,0.0,4.7246486471698864e-11,numerically_flat,15
False,0,,No crossing detected on the prescribed 1001-point exact grid within the specified domain.,JOINT_VENTURE,storage_subsidy,COMMIT_NOW_SYSTEM_NPV_ZERO,3324.6759198204404,3860.279408328168,0.0,3324.6759198204404,3324.6759198204404,3860.279408328168,0.0,3324.6759198204404,3324.6759198204404,above,increasing,NPV_million_CNY,1000.0,0.0,5.4857869831837545e-11,nondecreasing,15
False,0,,No crossing detected on the prescribed 1001-point exact grid within the specified domain.,STATE_OWNED,storage_subsidy,COMMIT_NOW_SYSTEM_NPV_ZERO,3324.6759198204404,3860.279408328168,0.0,3324.6759198204404,3324.6759198204404,3860.279408328168,0.0,3324.6759198204404,3324.6759198204404,above,increasing,NPV_million_CNY,1000.0,0.0,5.4857869831837545e-11,nondecreasing,15
False,0,,No crossing detected on the prescribed 1001-point exact grid within the specified domain.,TRANSFER,capex_U_multiplier,COMMIT_NOW_SYSTEM_NPV_ZERO,3643.6750793834385,4099.2465079548665,1.3,3643.6750793834385,4099.2465079548665,3643.6750793834385,0.0,3643.6750793834385,3643.6750793834385,above,decreasing,NPV_million_CNY,0.0,1000.0,5.825379656634576e-11,nonincreasing,19
False,0,,No crossing detected on the prescribed 1001-point exact grid within the specified domain.,TRANSFER,capex_C_multiplier,COMMIT_NOW_SYSTEM_NPV_ZERO,3755.960793669152,3986.960793669152,1.3,3755.960793669152,3986.960793669152,3755.960793669152,0.0,3755.960793669152,3755.960793669152,above,decreasing,NPV_million_CNY,0.0,1000.0,5.665812059403879e-11,nonincreasing,20
False,0,,No crossing detected on the prescribed 1001-point exact grid within the specified domain.,TRANSFER,transport_market_price,COMMIT_NOW_SYSTEM_NPV_ZERO,3841.4810129873586,3871.460793669152,136.625,3841.4810129873586,3871.460793669152,3841.4810129873586,0.0,3841.4810129873586,3841.4810129873586,above,decreasing,NPV_million_CNY,0.0,1.0,5.501676687443296e-11,nonincreasing,21
False,0,,No crossing detected on the prescribed 1001-point exact grid within the specified domain.,TRANSFER,storage_subsidy,COMMIT_NOW_SYSTEM_NPV_ZERO,3871.460793669152,4043.819335363433,0.0,3871.460793669152,3871.460793669152,4043.819335363433,0.0,3871.460793669152,3871.460793669152,above,increasing,NPV_million_CNY,1000.0,0.0,5.746612906937447e-11,nondecreasing,22
False,0,,No crossing detected on the prescribed 1001-point exact grid within the specified domain.,JOINT_VENTURE,carbon_scale,CO2_PRICE_ZERO,-5536.280387595339,-408.43354680904906,0.5,-408.43354680904906,-408.43354680904906,-5536.280387595339,0.0,408.43354680904906,-408.43354680904906,below,decreasing,price_CNY_per_t,17.0,983.0,7.86752762507396e-11,nonmonotonic,1
False,0,,No crossing detected on the prescribed 1001-point exact grid within the specified domain.,TRANSFER,carbon_scale,CO2_PRICE_ZERO,-5487.86318759534,-605.863511579357,0.5,-605.863511579357,-605.863511579357,-5487.86318759534,0.0,605.863511579357,-605.863511579357,below,decreasing,price_CNY_per_t,51.0,949.0,7.798722645582273e-11,nonmonotonic,2
