mode,system_npv,commit_now_system_npv,option_value,option_value_pct_commit,invest_prob_C,invest_prob_U,expected_tau_C_conditional,expected_tau_U_conditional,expected_active_years
TRANSFER,3885.186380068748,3871.460793669152,13.725586399596068,0.3545324912508731,0.8536600244249485,0.8536600244249485,11.679331743697604,11.679331743697604,14.78596208673154
JOINT_VENTURE,3894.578561397812,3324.6759198204404,569.9026415773715,17.141599822702442,0.9308143512581912,0.9345058689460952,10.254354895697585,10.235785764180958,17.448715486677543
STATE_OWNED,3896.293879428696,3324.6759198204404,571.6179596082557,17.19319336361445,0.918044409433425,0.918044409433425,10.193088239372406,10.193088239372406,17.2655802005519
