mode,invest_prob_C,invest_prob_U,expected_tau_C_conditional,expected_tau_U_conditional,mass_action_00,mass_action_01,mass_action_10,mass_action_11,mass_asymmetric_invest_action,mean_annual_asymmetric_built_state_probability,expected_asymmetric_built_years,max_year_asymmetric_probability
TRANSFER,0.8536600244249485,0.8536600244249485,11.679331743697604,11.679331743697604,29.146339975575096,0.0,0.0,0.8536600244249485,0.0,0.0,0.0,0.0
JOINT_VENTURE,0.9308143512581912,0.9345058689460952,10.254354895697585,10.235785764180958,29.031272887135117,0.0379127616067512,0.0342212439188472,0.8965931073393439,0.0721340055255984,0.0028850947619073,0.0865528428572207,0.0379127616067512
STATE_OWNED,0.918044409433425,0.918044409433425,10.193088239372406,10.193088239372406,29.081955590566626,0.0,0.0,0.918044409433425,0.0,0.0,0.0,0.0
