parameter,quartile,n,parameter_min,parameter_max,mean_prob_gap,mean_tau_gap,mean_asym_mass,share_asym
transport_market_price,1,1024,75.01718907151371,106.24735178425908,0.00041837539723341805,-0.021180761193414697,0.024104697021516713,0.2373046875
transport_market_price,2,1024,106.26569057349116,137.4993327073753,0.00040183239751249967,-0.034276919240486765,0.034866865724466345,0.24609375
transport_market_price,3,1024,137.52115720417353,168.74338504858315,0.00038815781862591356,-0.03087399981994545,0.03164294583164911,0.236328125
transport_market_price,4,1024,168.7694109743461,199.9956099782139,0.0004196299272686948,-0.025973757936450504,0.02830247411533665,0.25390625
effective_abatement_fraction,1,1024,0.5000031967647373,0.6249479302205145,0.00061745995691643,-0.033111242246762235,0.03653201557049261,0.341796875
effective_abatement_fraction,2,1024,0.625097256153822,0.7499234955757856,0.0004458310249878004,-0.028001744353220212,0.03015024709201635,0.251953125
effective_abatement_fraction,3,1024,0.7501089223660528,0.874931373167783,0.0003181376648099685,-0.027780832225599718,0.028535076746720678,0.2021484375
effective_abatement_fraction,4,1024,0.8750196378678083,0.9999682120978832,0.0002465668939263272,-0.023411619364715246,0.023699643283739177,0.177734375
storage_subsidy,1,1024,0.0063016265630722,29.977369643747807,0.0005083372600206057,-0.04434305199007266,0.044616822107354584,0.2666015625
storage_subsidy,2,1024,30.024291649460796,59.995545633137226,0.000455521631515864,-0.021688878652067617,0.025138467494687688,0.263671875
storage_subsidy,3,1024,60.0234854221344,89.99272238463163,0.0003620879951618933,-0.02555274281060689,0.027052378641827794,0.2294921875
storage_subsidy,4,1024,90.00531211495398,119.97473504394291,0.0003020486539421631,-0.020720764737550253,0.022109314449098753,0.2138671875
capex_C_multiplier,1,1024,0.7001159658655522,0.8499366641044616,0.00035375427331008416,-0.024384093632340127,0.026259463097321377,0.2412109375
capex_C_multiplier,2,1024,0.8501178797334432,0.9999393301084638,0.0003892526738898818,-0.03365942841763947,0.03429200132652526,0.2421875
capex_C_multiplier,3,1024,1.0001403817906975,1.1499534714967012,0.00041179111635299603,-0.024101654918344075,0.02625487156521678,0.2333984375
capex_C_multiplier,4,1024,1.1501384668052197,1.2999508066102865,0.0004731974770875641,-0.03016026122197374,0.03211064670390541,0.2568359375
capex_U_multiplier,1,1024,0.7001360639929771,0.8499938929453492,0.0002692267561197055,0.0017664174917543718,0.002792000889583466,0.1298828125
capex_U_multiplier,2,1024,0.850010304711759,0.9998595852404832,0.00034049831056690743,-0.0033436616199746384,0.007977289639253638,0.2138671875
capex_U_multiplier,3,1024,1.000142002850771,1.1499820889905097,0.000568120752214934,-0.03676536389460469,0.039025027315680715,0.3408203125
capex_U_multiplier,4,1024,1.1500045133754613,1.299871527776122,0.0004501497217389792,-0.07396283016747246,0.069122664848451,0.2890625
carbon_scale,1,1024,0.5002228580415248,1.9365940501447767,0.0013700244413420335,-0.07499644555002201,0.08197124265969125,0.5400390625
carbon_scale,2,1024,1.938633600715548,3.374631734797731,0.00022648449743527266,-0.030221735097083213,0.030208540375229874,0.3486328125
carbon_scale,3,1024,3.376037294510752,4.812232839176431,3.0695567635214186e-05,-0.007046846193584939,0.006685667810249438,0.08203125
carbon_scale,4,1024,4.813000123947859,6.248822953319177,7.91034228005724e-07,-4.041134960725175e-05,5.153184779826748e-05,0.0029296875
