mode,n,min_option,max_option,mean_option,negative_beyond_1e_8,positive_beyond_1e_8,max_prob_gap_abs,max_tau_gap_abs,max_asym_mass
JOINT_VENTURE,4096,-50.214638200894115,1078.9946074409359,103.07064936189863,17,1892,0.010815727580516188,2.258908099821208,1.997405677393317
STATE_OWNED,4096,-7.275957614183426e-11,1079.3189354859494,106.42258682955259,0,2103,0.0,0.0,0.0
TRANSFER,4096,-242.08079230650765,290.30146315807576,-29.606413866053163,2500,600,0.0,0.0,0.0
