system_npv,value_C,value_U,value_T,expected_active_years,expected_total_quantity,expected_total_utilization,expected_total_storage,max_static_accounting_error,max_backward_forward_value_error,max_probability_mass_error,invest_prob_C,never_invest_prob_C,expected_tau_C_conditional,invest_prob_U,never_invest_prob_U,expected_tau_U_conditional,co2_trade_year_probability,storage_trade_year_probability,mean_co2_price_conditional,mean_storage_fee_conditional,mixed_equilibrium_state_probability,multiple_pure_equilibrium_state_probability,expected_mixed_equilibrium_years,expected_multiple_pure_equilibrium_years,mass_action_00,mass_action_01,mass_action_10,mass_action_11,mass_asymmetric_invest_action,mean_annual_asymmetric_built_state_probability,expected_asymmetric_built_years,max_year_asymmetric_probability,commit_now_system_npv,commit_now_value_C,commit_now_value_U,commit_now_value_T,mode,transport_market_price,effective_abatement_fraction,storage_subsidy,capex_C_multiplier,capex_U_multiplier,carbon_scale,solver_status,initial_equilibrium_type,scenario_id,option_value,prob_gap,tau_gap,asym_mass,capex_C_bin,capex_U_bin,carbon_bin,eta_bin
10888.30657288048,4656.000402163135,4369.906009852091,1862.4001608652532,26.67338518687422,13.336692593437116,2.667338518687423,10.669354074749693,1.1641532182693479e-10,3.637978807091713e-12,2.2204460492503126e-16,0.9974056773933172,0.0025943226066827,2.2572354545001803,1.0,0.0,0.0,0.889112839562474,,-1993.3761680301616,,0,0.0,0,0.0,28.00259432260672,1.0,0.9974056773933172,0.0,1.997405677393317,0.077553827104192,2.3266148131257607,1.0,10935.126951019054,4638.4726471132335,4441.265245060519,1855.3890588452937,JOINT_VENTURE,122.74818720761688,0.8140960237942636,53.40474899858236,0.8034780060872435,1.1511021291837096,2.1102023066487163,OK,PURE_NASH,837,-46.8203781385746,0.0025943226066827973,-2.2572354545001803,1.997405677393317,0,3,1,2
12206.235671450257,5239.568230432356,4870.8401488449435,2095.827292172942,26.67024500955352,13.33512250477677,2.667024500955354,10.668098003821417,5.820766091346741e-11,1.4551915228366852e-11,2.2204460492503126e-16,0.9972850326550488,0.0027149673449512,2.257149023333919,1.0,0.0,0.0,0.8890081669851173,,-2314.414231292161,,0,0.0,0,0.0,28.002714967344986,1.0,0.9972850326550488,0.0,1.9972850326550489,0.0776584996815488,2.3297549904464643,1.0,12238.89206875746,5213.997721216108,4939.295259054915,2085.5990884864423,JOINT_VENTURE,187.0231768582016,0.966869005933404,9.386136978864668,0.8239723064005374,1.1761562736704945,1.9937119192909447,OK,PURE_NASH,3495,-32.6563973072025,0.002714967344951247,-2.257149023333919,1.9972850326550489,0,3,1,3
11397.6088225962,4881.4712464876175,4563.549077513537,1952.588498595048,26.66564161996669,13.332820809983357,2.666564161996671,10.666256647986684,5.820766091346741e-11,5.4569682106375694e-12,2.2204460492503126e-16,0.9971784891771156,0.0028215108228842,2.258908099821208,1.0,0.0,0.0,0.8888547206655562,,-2118.3837931962084,,0,0.0,0,0.0,28.002821510822915,1.0,0.9971784891771158,0.0,1.997178489177116,0.07781194600111,2.3343583800333008,1.0,11429.619936996743,4856.137664667436,4631.027206462331,1942.455065866976,JOINT_VENTURE,170.47077969182283,0.8694283901713789,16.020207032561302,0.7151113923639058,1.104080185480416,2.0693670192267746,OK,PURE_NASH,3695,-32.0111144005441,0.002821510822884399,-2.258908099821208,1.997178489177116,0,2,1,2
10483.42013482242,4471.996096067212,4222.62560032832,1788.798438426886,26.67125783293936,13.335628916469686,2.667125783293937,10.668503133175747,2.9103830456733704e-11,2.7284841053187847e-12,2.2204460492503126e-16,0.996696559415028,0.0033034405849718,2.2403432308495015,1.0,0.0,0.0,0.8890419277646451,,-1915.174694889116,,0,0.0,0,0.0,28.003303440585007,1.0,0.9966965594150282,0.0,1.996696559415028,0.0776247389020209,2.3287421670606294,1.0,10533.634773023314,4456.390068375171,4294.688677298073,1782.5560273500678,JOINT_VENTURE,117.50942321959884,0.8640817389823496,84.0493219345808,1.0576634185388685,1.2395252648741009,1.9287983027752489,OK,PURE_NASH,2845,-50.214638200894115,0.003303440584972006,-2.2403432308495015,1.996696559415028,2,3,0,2
9388.403394883533,3984.5569930980537,3810.023604546248,1593.8227972392233,26.66784980476002,13.333924902380016,2.6667849804760038,10.667139921904012,1.1641532182693479e-10,5.4569682106375694e-12,2.2204460492503126e-16,0.9964866310572172,0.0035133689427828,2.2381258577780136,1.0,0.0,0.0,0.888928326825334,,-1660.0231283890366,,0,0.0,0,0.0,28.003513368942816,1.0,0.9964866310572172,0.0,1.996486631057217,0.0777383398413319,2.332150195239959,1.0,9431.498506773383,3966.133342656934,3878.911827053678,1586.453337062773,JOINT_VENTURE,135.55818439926952,0.8307152455672621,81.04535702615976,0.8769067920744418,1.1632583687081932,1.8051828199531883,OK,PURE_NASH,2037,-43.09511188985016,0.0035133689427827575,-2.2381258577780136,1.996486631057217,1,3,0,2
12252.363013881191,5261.565579925585,4886.171201985373,2104.626231970234,26.66784980476002,13.333924902380016,2.6667849804760038,10.667139921904012,1.1641532182693479e-10,2.7284841053187847e-12,2.2204460492503126e-16,0.9964866310572172,0.0035133689427828,2.2381258577780136,1.0,0.0,0.0,0.888928326825334,,-2319.2288651951885,,0,0.0,0,0.0,28.003513368942816,1.0,0.9964866310572172,0.0,1.996486631057217,0.0777383398413319,2.332150195239959,1.0,12287.900419068965,5237.413628848937,4955.521338680451,2094.9654515395755,JOINT_VENTURE,126.7384734703228,0.5125365341082215,19.230667501688004,0.9053133413195608,1.1569018736481669,3.766848917817697,OK,PURE_NASH,1370,-35.5374051877734,0.0035133689427827575,-2.2381258577780136,1.996486631057217,1,3,2,0
10247.565972252716,4368.79825343744,4131.248417440295,1747.5193013749752,26.663052575736025,13.33152628786802,2.666305257573604,10.665221030294417,2.9103830456733704e-11,7.275957614183428e-12,2.2204460492503126e-16,0.9963154744335626,0.0036845255664373,2.238343416381404,1.0,0.0,0.0,0.8887684191912008,,-1853.4054609318816,,0,0.0,0,0.0,28.003684525566467,1.0,0.9963154744335628,0.0,1.9963154744335627,0.0778982474754653,2.3369474242639607,1.0,10287.015007239395,4347.959510514554,4199.871692519024,1739.1838042058207,JOINT_VENTURE,128.5881465766579,0.7252751560881733,65.66586054861546,0.9466738402843476,1.1206137722358107,2.24158578668721,OK,PURE_NASH,666,-39.44903498667918,0.003684525566437391,-2.238343416381404,1.9963154744335627,1,2,1,1
13464.6409134332,5799.1314874047375,5345.85683106656,2319.652594961896,26.663052575736025,13.33152628786802,2.666305257573604,10.665221030294417,2.9103830456733704e-11,6.366462912410498e-12,2.2204460492503126e-16,0.9963154744335626,0.0036845255664373,2.238343416381404,1.0,0.0,0.0,0.8887684191912008,,-2611.5749376265985,,0,0.0,0,0.0,28.003684525566467,1.0,0.9963154744335628,0.0,1.9963154744335627,0.0778982474754653,2.3369474242639607,1.0,13495.801290773112,5771.905137940456,5415.134097656478,2308.762055176181,JOINT_VENTURE,160.0538273807615,0.5824680323712527,17.20663346350193,1.2652718976140025,1.201232513971627,3.6421716944314535,OK,PURE_NASH,1836,-31.160377339911065,0.003684525566437391,-2.238343416381404,1.9963154744335627,3,3,2,0
12874.475107277916,5533.846415228401,5127.0901259581515,2213.5385660913603,26.656109901799017,13.328054950899515,2.6656109901799034,10.662443960719614,2.9103830456733704e-11,7.275957614183428e-12,2.2204460492503126e-16,0.9961618981375207,0.0038381018624793,2.2411870483735834,1.0,0.0,0.0,0.8885369967266338,,-2485.737590849782,,0,0.0,0,0.0,28.003838101862502,1.0,0.9961618981375208,0.0,1.9961618981375209,0.0781296699400318,2.3438900982009554,1.0,12902.063435004698,5505.170701220185,5194.824453296446,2202.068280488072,JOINT_VENTURE,163.74319156166166,0.6913285008631646,9.232656620442867,1.0935352221131325,1.2296485682949423,2.948916957480833,OK,PURE_NASH,2780,-27.588327726782154,0.0038381018624793484,-2.2411870483735834,1.9961618981375209,2,3,1,1
8468.401103241249,3605.3661251711214,3420.8885280016766,1442.1464500684494,23.973932662346485,11.986966331173257,2.397393266234651,9.589573064938605,5.820766091346741e-11,2.273736754432321e-12,1.1102230246251563e-16,0.9869298575389174,0.0130701424610825,4.708574951689387,0.9899266252521072,0.0100733747478927,3.040282292748665,0.7991310887448828,,-1716.1020229010726,,0,0.0155734369968538,0,0.4672031099056163,28.27267212320633,0.7403980192547621,0.7374012515415722,0.2495286059973453,1.4777992707963343,0.0574761026696734,1.724283080090204,0.7143735773645685,8341.350759785713,3461.874307572636,3494.7267291840226,1384.7497230290546,JOINT_VENTURE,99.34389537665992,0.9619092512875796,60.67629542201757,1.2030552906915546,1.238815305940807,1.4424189811106771,OK,PURE_NASH,3521,127.05034345553577,0.0029967677131897963,-1.6682926589407225,1.4777992707963343,3,3,0,3
